Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
606,34.8283543835,-21.569439244,-19.4051193219,-2.16431992213,15.8823529412,26.5665340035,3884.86,3894.0,3863.0,3876.5,-1.0
607,34.9737190743,-20.3104359561,-19.5861826487,-0.724253307337,44.7294117647,25.5043288468,3876.78,3910.0,3876.42,3901.02,1.0
608,35.1087005729,-20.2093885258,-19.7108238241,-0.498564701682,28.2588235294,26.0559739435,3901.03,3903.79,3883.0,3887.02,-1.0
609,34.9558000791,-18.6259537753,-19.4938498144,0.867896039037,51.9350649351,26.0237270261,3886.53,3907.0,3886.29,3902.99,1.0
610,35.0850985997,-17.7610296401,-19.1472857795,1.38625613945,42.3636363636,27.1022281031,3902.98,3905.0,3880.0,3895.62,-1.0
611,33.6171698913,-15.1722596806,-18.3522805597,3.18002087911,87.147234317,27.4626229629,3895.61,3925.01,3894.22,3917.04,1.0
612,32.2540932335,-13.2933970665,-17.3405038611,4.04710679461,80.6321561039,33.6602467105,3917.04,3918.03,3907.13,3913.0,-1.0
613,30.7664199402,-11.430545764,-16.1585122417,4.72796647764,85.4700854701,38.6294502394,3912.88,3920.99,3909.16,3916.0,1.0
614,29.385009025,-9.66688111666,-14.8601860167,5.19330490001,88.9856474762,44.3766870429,3916.1,3919.89,3914.97,3918.18,1.0
615,28.700280301,-8.26586885884,-13.5413225851,5.27545372626,87.147234317,48.6272868108,3918.83,3918.86,3905.15,3917.04,-1.0
616,29.5940150632,-8.63275818552,-12.5596097052,3.92685151967,55.6361877117,51.5479020699,3917.04,3918.0,3870.01,3897.5,-1.0
617,30.4239116282,-8.45886511456,-11.7394607871,3.2805956725,62.9737139171,52.3273341971,3897.24,3905.0,3896.0,3902.05,1.0
618,30.7713103218,-7.9143179494,-10.9744322195,3.06011427013,69.2791485244,55.3353088365,3901.92,3909.97,3894.95,3905.96,1.0
619,31.093894823,-8.05799959551,-10.3911456947,2.33314609921,55.9264634736,58.7911723866,3906.33,3909.15,3896.42,3897.68,-1.0
620,31.7780670384,-8.73765900946,-10.0604483577,1.32278934821,35.2909090909,61.1690829175,3897.77,3905.99,3887.15,3889.42,-1.0
621,32.6873360214,-9.63166386074,-9.97469145829,0.343027597544,24.7818181818,62.5554083568,3889.42,3893.8,3880.0,3883.64,-1.0
622,33.53165722,-9.58654898513,-9.89706296366,0.310513978528,39.2727272727,61.1305802437,3883.61,3892.0,3882.47,3891.61,1.0
623,33.0773431965,-8.58919061836,-9.6354884946,1.04629787623,58.7090909091,61.9172876539,3891.9,3905.0,3887.64,3902.3,1.0
624,31.2848888859,-6.45987348636,-9.00036549295,2.54049200659,87.2,62.4011466521,3902.47,3922.88,3901.59,3917.97,1.0
625,31.0836213383,-3.85405666229,-7.97110372682,4.11704706453,87.1479395197,65.6037440547,3917.97,3937.47,3870.08,3928.8,1.0
626,30.8967300442,-3.19247303475,-7.0153775884,3.82290455365,60.6878150015,65.6037944263,3928.8,3929.6,3904.3,3910.95,-1.0
627,30.8577046622,-2.85792776491,-6.18388762371,3.32595985879,56.5965016306,64.1791986333,3910.95,3918.98,3901.0,3908.19,-1.0
628,31.321293548,-2.88473215162,-5.52405652929,2.63932437767,50.6225911651,62.1167997876,3908.02,3920.0,3888.0,3904.16,-1.0
629,31.360574543,-1.36117738734,-4.6914807009,3.33030331356,78.7133115921,59.3765814797,3903.95,3924.99,3898.0,3923.11,1.0
630,31.1377062272,-0.0419116616281,-3.76156689304,3.71965523142,80.7389820448,58.7741584279,3923.1,3928.28,3916.0,3924.49,1.0
631,30.9307570768,0.4712670313,-2.91500010818,3.38626713948,71.0491170797,60.567215166,3924.16,3924.48,3917.0,3917.96,-1.0
632,31.4615992808,-0.0837213663349,-2.34874435981,2.26502299347,53.3461937973,61.1440296776,3917.95,3919.1,3900.08,3906.03,-1.0
633,32.2176495378,-1.33285790162,-2.14556706817,0.812709166552,38.180738982,60.0059614828,3906.7,3916.95,3893.0,3895.81,-1.0
634,32.9196962051,-1.42043942753,-2.00054154004,0.580102112509,54.4739575605,58.7384097334,3895.98,3909.99,3895.81,3906.79,1.0
635,33.5706034709,-1.51834017373,-1.90410126678,0.385761093046,53.6281347381,60.1086274812,3906.86,3910.0,3900.01,3906.22,-1.0
636,32.9143447484,-0.567027764932,-1.63668656641,1.06965880148,72.4291437899,62.1690786638,3906.22,3923.46,3905.0,3918.89,1.0
637,32.2575173705,-0.762130262139,-1.46177530556,0.699645043418,54.8152544888,64.5373941293,3918.01,3924.0,3906.0,3907.02,-1.0
638,32.1241728534,-1.23177318431,-1.41577488131,0.184001696995,48.7609437602,64.2592629564,3907.05,3910.06,3897.0,3902.94,-1.0
639,31.7684355914,-1.43252734631,-1.41912537431,-0.0134019720015,40.5288461538,61.5136160822,3902.94,3912.5,3899.35,3904.86,1.0
640,31.1017107503,-1.09964211886,-1.35522872322,0.255586604361,56.6037735849,58.1836808417,3905.84,3916.0,3900.0,3910.8,1.0
641,30.4826091121,-0.918838682888,-1.26795071515,0.349112032264,53.7239324727,57.8919635977,3910.8,3914.0,3903.25,3909.64,-1.0
642,29.5881682756,-0.172410478833,-1.04884266789,0.876432189055,68.2823129252,57.6867800864,3909.94,3917.09,3907.64,3917.09,1.0
643,28.8846531833,-0.122503361938,-0.863574806698,0.741071444761,49.2063492063,58.9481887836,3917.09,3917.47,3905.9,3910.36,-1.0
644,28.099198969,0.566540713829,-0.577551702593,1.14409241642,80.9720457433,56.8405486132,3910.36,3918.64,3907.56,3918.49,1.0
645,27.727150448,0.278281334855,-0.406385095103,0.684666429959,49.0,56.8571960202,3918.49,3920.0,3903.0,3908.19,-1.0
646,27.5222179958,0.153767219308,-0.294354632221,0.448121851529,53.2258064516,55.2822590859,3907.22,3913.76,3901.18,3909.5,1.0
647,25.6636420944,0.670301547932,-0.10142339619,0.771724944123,64.5073817415,55.2736599898,3909.43,3929.0,3905.61,3917.22,1.0
648,23.9378216145,0.898238112548,0.0985089055574,0.799729206991,56.5625,57.1541344726,3917.27,3925.89,3912.27,3915.1,-1.0
649,23.2173671151,0.300772593514,0.138961643149,0.161810950365,26.5625,57.3033160755,3915.12,3915.23,3902.2,3905.5,-1.0
650,22.2571520581,0.323832114572,0.175935737433,0.147896377139,45.9375,55.3700564513,3905.46,3918.0,3905.0,3911.7,1.0
651,21.365523791,0.40202596025,0.221153781997,0.180872178253,48.4375,53.4777961806,3911.7,3917.9,3908.08,3912.5,1.0
652,19.9805963112,0.893465287088,0.355616083015,0.537849204073,62.7318718381,53.0222422885,3912.75,3923.0,3912.15,3917.95,1.0
653,18.6007610111,1.43264464245,0.571021794902,0.861622847549,69.0,54.0201657227,3917.95,3923.87,3916.18,3920.01,1.0
654,18.4335043804,1.07373793064,0.67156502205,0.402172908592,33.2135154565,56.0538195688,3920.04,3924.88,3904.5,3910.42,-1.0
655,18.2781946519,0.786688650101,0.69458974766,0.0920989024403,33.5010783609,54.3830868454,3910.4,3918.0,3907.15,3910.5,1.0
656,18.4560134316,-0.00398173949861,0.554875450229,-0.558857189727,8.41121495327,52.938597266,3910.51,3918.0,3903.5,3903.52,-1.0
657,20.9951819136,-4.25383481694,-0.406866603205,-3.84696821373,0.0,48.662090268,3904.07,3913.21,3858.01,3858.01,-1.0
658,23.4636434897,-7.75678141816,-1.8768495662,-5.87993185196,0.979865771812,45.1473510389,3858.01,3873.96,3854.5,3855.23,-1.0
659,25.9553347717,-10.3338845226,-3.56825655748,-6.76562796513,10.1370539573,39.4336238981,3855.14,3868.88,3848.01,3856.22,1.0
660,28.8245231767,-14.4776104931,-5.7501273446,-8.72748314848,2.04854368932,36.6576991808,3856.98,3861.84,3826.0,3828.11,-1.0
661,31.5533138956,-16.8874515185,-7.97759217937,-8.90985933908,13.1499659831,33.002180412,3828.96,3858.88,3823.0,3836.53,1.0
662,34.0871909917,-18.705105296,-10.1230948027,-8.58201049327,11.7785630153,29.3337935722,3836.52,3845.0,3823.0,3835.0,-1.0
663,36.6195618972,-21.1142060584,-12.3213170538,-8.7928890046,4.53221696396,26.1349409304,3834.91,3838.47,3815.0,3819.98,-1.0
664,39.1692511747,-22.1962741081,-14.2963084647,-7.89996564345,18.2448809026,24.561349285,3820.95,3832.0,3805.23,3827.06,1.0
665,39.7438976474,-21.3177089151,-15.7005885548,-5.61712036031,33.6815712495,22.5833050637,3828.57,3848.98,3827.03,3845.53,1.0
666,40.1802853521,-20.5723064543,-16.6749321347,-3.89737431959,31.7342248224,21.529310153,3845.53,3849.99,3838.11,3843.2,-1.0
667,40.5896916926,-19.4930047376,-17.2385466553,-2.25445808235,34.4671959883,19.315192509,3844.0,3847.47,3838.0,3846.47,1.0
668,40.4921468914,-18.3327198629,-17.4573812968,-0.875338566096,37.5986521238,16.848563651,3846.04,3852.0,3845.87,3847.63,1.0
669,41.2295809448,-19.0798161022,-17.7818682579,-1.29794784433,16.8661878159,17.1617876987,3847.63,3847.65,3824.24,3824.25,-1.0
670,42.1108750977,-18.4545517187,-17.91640495,-0.538146768684,29.1442859789,15.9735812312,3824.85,3846.0,3818.0,3836.7,1.0
671,42.9292196683,-18.6079251879,-18.0547089976,-0.553216190264,30.2197002764,17.4545148759,3836.71,3845.0,3821.42,3826.0,-1.0
672,43.6891110552,-18.3006488439,-18.1038969669,-0.196751877029,36.8735271013,19.6130648956,3825.0,3836.26,3822.0,3828.7,1.0
673,44.8986354828,-18.95459873,-18.2740373195,-0.680561410526,17.0287934994,22.1768978477,3828.69,3837.52,3806.0,3814.87,-1.0
674,42.8390818667,-14.6919714473,-17.5576241451,2.86565269776,95.646570242,22.6691649579,3814.88,3875.06,3812.43,3872.02,1.0
675,40.9266392231,-12.0440216224,-16.4549036405,4.41088201812,80.2233996849,29.3547382831,3872.07,3873.19,3850.11,3861.25,-1.0
676,39.6288455396,-11.2983740773,-15.4235977279,4.12522365059,53.9023342403,34.1456978332,3861.77,3865.0,3840.0,3842.87,-1.0
677,38.4237514049,-10.0964180339,-14.3581617891,4.26174375515,62.6807962194,37.154538635,3844.01,3860.0,3840.0,3849.0,1.0
678,37.5460307671,-10.0766927232,-13.5018679759,3.42517525268,43.4404865334,41.3080085818,3849.0,3854.99,3835.0,3836.0,-1.0
679,37.2543499118,-9.08885445732,-12.6192652722,3.53041081488,59.0066608746,43.1076946983,3836.0,3848.0,3823.31,3846.75,1.0
680,36.1853120457,-7.97520505289,-11.6904532283,3.71524817545,63.2927888792,44.9166296715,3845.87,3858.0,3842.1,3849.71,1.0
681,35.4730241194,-7.60849734226,-10.8740620511,3.26556470886,52.4616275702,47.1708128184,3849.71,3852.52,3836.2,3842.23,-1.0
682,34.8116139021,-7.34137879584,-10.1675254001,2.82614660422,50.5212858384,48.45612936,3842.23,3845.02,3839.0,3840.89,-1.0
683,33.3846326768,-7.11783715639,-9.55758775133,2.43975059494,49.2615117289,49.3791746253,3840.89,3855.0,3838.92,3840.02,-1.0
684,32.7851617938,-7.40243744279,-9.12655768962,1.72412024683,39.4439617724,51.6931263334,3840.02,3843.52,3825.0,3833.24,-1.0
685,32.2285102596,-7.27302242566,-8.75585063683,1.48282821117,44.3092962641,52.4288174615,3833.28,3838.01,3827.13,3836.6,1.0
686,30.897993588,-6.28304744158,-8.26128999778,1.9782425562,58.9342600637,53.4352171749,3836.6,3848.1,3833.63,3846.7,1.0
687,29.1328188942,-6.20004085927,-7.84904017008,1.64899931081,39.4220022354,55.0109838151,3847.01,3855.28,3835.02,3837.12,-1.0
688,27.2271808505,-5.17170190323,-7.31357251671,2.14187061348,50.1202886929,56.6104987248,3837.13,3859.0,3835.0,3848.31,1.0
689,25.45765981,-4.09409500715,-6.6696770148,2.57558200765,66.3708323339,53.3586214713,3848.31,3859.0,3841.1,3850.98,1.0
690,23.7344380934,-2.60167826512,-5.85607726486,3.25439899974,95.9400544959,52.3691523748,3851.64,3860.01,3850.0,3858.52,1.0
691,22.1343036422,-1.4139252249,-4.96764685687,3.55372163197,95.5585831063,55.3718466787,3858.52,3860.0,3854.5,3858.38,-1.0
692,20.9454068454,-0.741652327577,-4.12244795101,3.38079562343,86.1852861035,57.7202600278,3858.48,3859.29,3851.0,3854.94,-1.0
693,19.8414312483,-0.204895472665,-3.33893745534,3.13404198268,85.5755498429,60.7734599971,3854.2,3858.08,3851.0,3854.96,1.0
694,19.8519848099,-0.728121350182,-2.81677423431,2.08865288413,51.6995144244,62.6712377806,3854.96,3858.08,3838.02,3843.1,-1.0
695,19.8617845456,-0.911980697522,-2.43581552695,1.52383482943,59.4972864896,61.8431467481,3843.1,3846.84,3838.66,3845.83,1.0
696,19.5979020864,-1.13657727225,-2.17596787601,1.03939060376,56.2410739789,62.3456938137,3845.83,3849.24,3838.92,3844.69,-1.0
697,18.7593838025,-0.659818722278,-1.87273804526,1.21291932299,79.1488146244,62.7542501095,3844.71,3854.63,3842.4,3852.71,1.0
698,17.9424174679,-0.595465798827,-1.61728359598,1.02181779715,65.7238442822,64.8890574592,3852.79,3854.98,3846.14,3848.74,-1.0
699,18.2613111285,0.44213795372,-1.20539928604,1.64753723976,59.0899288333,66.7661919241,3848.41,3880.0,3840.0,3861.03,1.0
700,18.5574266706,1.16946695696,-0.730426037439,1.89989299439,55.6,67.8219513934,3861.03,3877.68,3857.01,3860.02,-1.0
701,18.0013410309,1.25532908819,-0.333275012314,1.5886041005,42.4888888889,67.5837899603,3860.03,3864.44,3848.83,3854.12,-1.0
702,17.0340092726,0.734732990566,-0.119673411738,0.854406402305,21.2243925679,67.8028532926,3854.13,3858.54,3844.0,3846.93,0.0
