Hours,ADX,MACD,Signal Line,Histogram,%K,%D,Open,High,Low,Close,Output
2537,37.4046085271,-14.0841375655,-21.8218250779,7.73768751244,81.9647696477,31.5976918853,3600.04,3605.0,3592.0,3600.49,1.0
2538,35.8108537191,-13.0469830972,-20.0668566818,7.01987358459,59.9051490515,35.2246397173,3600.05,3601.23,3575.13,3584.21,-1.0
2539,34.3309385402,-12.0250873389,-18.4585028132,6.43341547433,60.9349593496,38.8370111192,3584.27,3592.36,3576.01,3584.97,1.0
2540,31.905272751,-9.57972641893,-16.6827475343,7.10302111541,86.5447154472,41.9114686061,3584.92,3609.66,3584.35,3603.87,1.0
2541,29.7353068988,-8.54145531165,-15.0544890898,6.51303377815,69.783197832,46.7830019521,3603.14,3612.08,3585.0,3591.5,-1.0
2542,27.7203386076,-7.53572774541,-13.5507368209,6.01500907551,71.3956639566,50.0104044287,3591.5,3595.0,3585.71,3592.69,1.0
2543,26.0946776879,-6.15932321066,-12.0724540989,5.91313088821,79.9322493225,53.4590408471,3591.89,3598.99,3586.82,3598.99,1.0
2544,24.8903618334,-4.92858662976,-10.643680605,5.71509397529,81.3279132791,56.3976152421,3598.99,3603.99,3595.64,3600.02,1.0
2545,23.9515861819,-5.581786327,-9.63130174944,4.04951542244,52.8997289973,61.3715065642,3601.54,3608.0,3571.09,3579.04,-1.0
2546,23.6181260221,-5.90549792652,-8.88614098485,2.98064305833,55.0135501355,64.2247839101,3579.04,3581.98,3560.01,3580.6,1.0
2547,22.4204398971,-4.92156259365,-8.09322530661,3.17166271296,68.3193708326,67.4246528759,3581.4,3596.0,3574.14,3595.27,1.0
2548,21.0835389949,-4.37937322923,-7.35045489114,2.97108166191,58.9142963376,70.6559592867,3595.25,3599.79,3584.49,3591.7,-1.0
2549,19.8291368981,-4.05304967329,-6.69097384757,2.63792417428,57.288265796,70.359297056,3591.01,3600.0,3585.01,3589.84,-1.0
2550,18.6643349512,-3.59484119302,-6.07174731666,2.47690612364,61.0524294219,69.0140573542,3588.93,3595.0,3586.97,3591.8,1.0
2551,17.3547953083,-2.66519248405,-5.39043635014,2.72524386609,73.8044939505,67.5197328148,3592.0,3598.99,3585.03,3598.44,1.0
2552,16.1387942113,-2.46008090313,-4.80436526074,2.3442843576,60.4762819282,66.9368559793,3597.51,3598.59,3588.94,3591.5,-1.0
2553,15.064793484,-2.38541991064,-4.32057619072,1.93515628008,57.7299788746,66.9776511848,3591.5,3592.24,3587.6,3590.07,-1.0
2554,14.524516479,-1.66156392039,-3.78877373665,2.12720981626,73.0939120415,66.748724008,3590.64,3600.34,3590.4,3598.07,1.0
2555,15.9092710858,1.22751486309,-2.7855160167,4.01303087979,88.4732319894,65.7879523361,3599.26,3635.66,3599.26,3626.94,1.0
2556,17.5359827776,4.04183567791,-1.42004567778,5.46188135569,87.4926114198,67.122954776,3626.95,3644.6,3625.19,3634.02,1.0
2557,19.960049522,8.52209459918,0.568382377613,7.95371222157,89.7467142484,68.2727367376,3634.17,3674.9,3633.0,3663.12,1.0
2558,22.2109686417,11.0153790008,2.65778170224,8.35759729851,79.7110279398,68.9737699466,3663.14,3666.94,3643.31,3651.59,-1.0
2559,24.3301955257,13.8332470761,4.892874777,8.94037229905,90.5126642876,68.8582781366,3652.0,3668.0,3650.01,3664.0,1.0
2560,26.5680688487,15.2451579946,6.96333142052,8.28182657406,78.8176391296,71.5449163717,3663.44,3678.0,3648.02,3656.0,-1.0
2561,28.6460940771,16.3459411017,8.83985335677,7.50608774498,78.729547642,73.2452084427,3656.02,3662.97,3651.47,3658.11,1.0
2562,30.7044144801,17.3427832387,10.5404393331,6.80234390554,82.9336487794,73.9887925005,3658.11,3667.62,3647.03,3662.13,1.0
2563,32.6822900107,17.7450637364,11.9813642138,5.76369952261,80.4883295687,75.704460532,3662.13,3670.0,3656.97,3659.86,-1.0
2564,33.7777436264,17.0714651094,12.9993843929,4.0720807165,69.8827578789,77.3616079444,3659.9,3668.0,3649.9,3650.0,-1.0
2565,34.3097842891,16.4265492039,13.6848173551,2.74173184874,70.0995575221,77.9923456913,3650.0,3655.05,3645.08,3650.97,1.0
2566,35.2958861258,16.5740760675,14.2626690976,2.31140696994,81.7477876106,77.727707375,3651.02,3668.0,3647.08,3661.5,1.0
2567,36.2441357791,16.3875050796,14.687636294,1.69986878562,79.5433789954,79.247100638,3661.5,3668.91,3657.88,3660.08,-1.0
