3847.25	3866	3832	3863.11	2943.3	11319195.93	3845.75
3863.13	3865.22	3824	3827.07	3729.6	14336974.65	3844.11
3828.6	3838.36	3823	3825.86	2981.06	11420541.92	3831.04
3825	3841	3824.99	3829.8	2539.52	9734923.58	3833.37
3828.85	3829	3766.01	3779.11	6932.45	26275112.59	3790.16
3778.93	3810	3766	3767.65	4258.96	16141790.56	3790.08
3768.85	3781	3748.05	3780.81	3149.6	11853985.93	3763.65
3779.03	3785	3761.1	3771.86	1054.97	3978659.2	3771.34
3771.5	3780.93	3758.01	3774.09	856.6	3230573.85	3771.39
3774.09	3789.98	3774	3789.9	837.66	3169632.34	3783.92
3788.83	3818.7	3780	3815.11	971.19	3690441.6	3799.93
3815.11	3826	3799.01	3807.95	1044.64	3982202.38	3812.05
3807.96	3829.8	3805.39	3824	1221.58	4665723.93	3819.43
3824	3835	3800	3800.08	2079.66	7942219.56	3819.01
3803.01	3811.46	3792.04	3797.76	1668.92	6343300.53	3800.85
3797.03	3825	3790	3812.25	2798.87	10658876.33	3808.28
3812.73	3824.91	3771	3785.33	4410.73	16771308.02	3802.39
3784.97	3795	3772.08	3782.9	2359.12	8929267.26	3785.01
3783.51	3793.68	3770	3787.94	2733.95	10345203.56	3783.98
3787.89	3795.13	3780	3787.15	1920.97	7275852.13	3787.59
3787.17	3790	3757.71	3765.12	2926.3	11031056.28	3769.62
3765.59	3766.24	3730	3738	5488.03	20538056.41	3742.33
3738	3738.9	3669.61	3669.61	6795.22	25204031.82	3709.08
3669.59	3728	3668.77	3718	6246.25	23151779.8	3706.51
3717	3725	3695	3705.02	3019.74	11212489.34	3713.06
3705	3719.8	3680.23	3680.96	3644.99	13498178.99	3703.21
3680.8	3687.9	3651	3656.6	6544.76	24005595.82	3667.91
3656.02	3656.58	3605.03	3616	7775.9	28235991.3	3631.22
3615.99	3633.02	3568.07	3576.23	7754.34	27922251.18	3600.86
3578	3612.95	3517.95	3606.03	13636.75	48718887.06	3572.62
3605.93	3629.9	3581.92	3611.96	4373.48	15751460.34	3601.58
3611.93	3616	3588.81	3598.95	2574.14	9275760.81	3603.44
3598.95	3607.23	3592.71	3597.03	765.98	2756855.96	3599.11
3597.92	3609.99	3596	3598.52	795.77	2867939.18	3604
3597.95	3609	3595.9	3599.5	626.23	2256636.16	3603.54
3599.52	3640	3599.5	3630.59	1761.61	6368617.75	3615.23
3631.11	3674.5	3630	3646.55	4251.49	15530788	3653.02
3646.55	3669	3623.6	3625.72	3188.36	11632022.47	3648.28
3625.64	3645.96	3585	3644.16	5028.7	18193994.54	3618.03
3644.16	3656.81	3610	3617.97	5145.11	18700128.41	3634.55
3617.97	3648	3611.51	3626.19	3880.12	14088872.4	3631.04
3626.22	3658	3626.22	3652.72	3518.11	12817836.83	3643.39
3652.65	3665	3636.7	3645	3320.5	12119225.38	3649.82
3645	3645	3616.55	3624.27	4082.84	14821830.8	3630.27
3624.27	3631.97	3594.72	3603.97	3896.51	14078869.83	3613.2
3603.4	3608.28	3547	3555.15	7353.91	26267763.72	3571.94
3555.17	3588	3555.15	3577.53	4303.86	15388102.34	3575.42
3576.3	3577.81	3536.11	3538.05	4493.01	15965771.67	3553.47
3538.06	3588	3531.33	3576.58	5955.51	21219905.12	3563.07
3576.98	3586.04	3562.02	3565.3	3330.13	11903927	3574.62
3565.3	3565.3	3523	3526.22	5452.86	19345754.93	3547.82
3526.29	3544.2	3507.84	3532.06	7079.65	24949940.75	3524.18
3532.7	3539.9	3493	3535.57	6224.68	21893840.85	3517.26
3537.98	3550.03	3520.01	3545.85	4770.49	16880587.34	3538.55
3545.97	3558	3521.6	3554.22	1327.73	4699839.88	3539.76
3555.86	3579.96	3545.26	3561.94	1775.54	6327429.6	3563.67
3561.94	3576.67	3558.33	3573.68	698.62	2493730.46	3569.52
3573.68	3586.85	3561.42	3573.32	978.14	3498243.32	3576.42
3573.32	3588	3567.95	3575.15	871.42	3117943.85	3578.01
3575.15	3642	3573.67	3636.77	3391.65	12257933.37	3614.15
3636.66	3698	3622	3695.18	4841.09	17708642.67	3657.99
3695.21	3707.99	3656.08	3676.55	6614.24	24328945.28	3678.27
3678	3700	3663.1	3670.88	4952.77	18240453.64	3682.88
3672.94	3685.94	3660	3675.11	4357.67	16002858.98	3672.34
3675.11	3681.25	3651.11	3677.22	5164.09	18924544.56	3664.64
3676.53	3732	3671	3722.49	5930.39	21963274.99	3703.51
3722.47	3755.99	3718	3735.17	8893.53	33201832.4	3733.26
3735.17	3756	3725.93	3744.01	5860.42	21914267.72	3739.37
3744.05	3770.04	3707.2	3733.25	8911.76	33334206.98	3740.48
3733.53	3747	3716.16	3736.01	4733.06	17664711.09	3732.2
3736.04	3760	3726	3746.17	4581.63	17158260.24	3745.01
3746.17	3760	3740.09	3746	2954.65	11076733.17	3748.92
3746.08	3762.99	3745.67	3752.04	2860.68	10740703.37	3754.6
3752.05	3785.02	3745.5	3756.1	5743.91	21652038.42	3769.57
3756.12	3763	3723.22	3736.8	6235.04	23331371.47	3741.98
3738	3739.77	3702.05	3721.94	6897.81	25634168.37	3716.28
3721.92	3747.99	3713	3724.21	5765.58	21502318.28	3729.43
3724.21	3737.22	3722.83	3726.85	1787.7	6665312.04	3728.43
3727.23	3747.96	3725.11	3740.23	1038.63	3884051.74	3739.61
3740.23	3751.05	3735.65	3751.05	878.52	3289427.47	3744.3
3751.77	3767	3745.52	3747.59	1054.18	3961253.47	3757.66
3747.6	3751.87	3731	3745.07	704.86	2637341.12	3741.64
3745.07	3757.97	3740.52	3751.12	737.87	2765657.22	3748.18
3751.92	3768.98	3751.19	3757.86	1424.49	5357815.46	3761.23
3757.95	3759.89	3715.1	3718.72	1882.06	7029540.69	3735.03
3718.72	3735	3713.07	3720.07	2777.64	10343130.02	3723.72
3720.08	3739.14	3714	3732.98	2721.32	10141420.71	3726.66
3732.9	3747	3731	3740.78	3165.65	11837236.87	3739.28
3740.75	3741.97	3726.72	3734.49	1857.62	6937379.35	3734.56
3734.49	3738.02	3723	3727.7	1515.97	5655351.94	3730.51
3728.22	3730	3717.02	3729.6	1565.16	5828399.65	3723.85
3729.47	3740.05	3728	3737.47	1803.4	6732602.21	3733.28
3737.57	3739.64	3727.52	3731.76	1475.69	5508136.88	3732.6
3730.45	3755.78	3730	3749	4114.51	15403314.69	3743.65
3748.07	3763.63	3740.08	3761.97	3232.65	12128942.6	3752.02
3760.57	3766.9	3743	3746.74	2264.67	8494471.49	3750.86
3747.67	3757.02	3744.53	3753.24	1476.9	5541267.2	3751.96
3754.08	3754.38	3723.56	3731.98	2337.81	8739203.59	3738.2
3731.98	3743.88	3727.96	3737.54	1453.71	5430606.89	3735.69
3736.24	3752	3733.97	3743.07	2050.4	7677489.63	3744.38
3742.12	3752.45	3733	3752.04	1879.17	7037024.36	3744.74
3752.04	3756	3744	3747.77	1106	4146444.96	3749.06
3747.81	3760	3746	3756.54	734.18	2755960.93	3753.8
3756.54	3760.63	3750.14	3751.92	607	2280637.83	3757.23
3751.92	3764	3751.81	3760.78	568.56	2137513.87	3759.53
3760.78	3794.53	3760.78	3790.02	1907.99	7213671.27	3780.77
3790.02	3801.64	3777.03	3793.4	1655.43	6276344	3791.37
3793.4	3808.14	3790	3795.96	1282.9	4870288.86	3796.32
3795.94	3805	3771.57	3792	2238.97	8479104.18	3787.06
3794.44	3845	3792.14	3836.08	5134.01	19631860.6	3823.88
3835.8	3839.8	3815	3822.39	5042.19	19287367.9	3825.2
3822.36	3823.78	3801.08	3816.02	3198.67	12200828.52	3814.34
